iteration	time	leafsWith	leafsWithout
13	3.029318568921326	1	1
13	0.566693307192196	1	5
13	3.21356470024719	148	32
13	2.8783460388795277	4	1
13	3.042817219063096	4	1
13	3.1694822457399425	9	2
14	2.6752255518033223	4	1
14	2.6648879675312287	1	2
14	2.9451983387964447	1	1
14	0.5322337528178593	1	3
14	0.5075270931745308	1	1
14	3.5006795873638623	1	20
14	2.7258864676806525	5	4
14	2.420222502944455	1	1
14	1.563271926804532	1	3
14	3.178443148330871	29	1
14	3.1574371233590455	1	1
14	1.6333015451749304	2	1
14	1.6055254351576878	30	1
14	1.7764450977083186	6	1
14	1.6166523965208626	35	1
14	3.194266495623708	25	2
14	2.6351171327085297	61	2
14	3.0253102252048336	4	1
14	1.5006393377571499	1	2
14	3.022115904640856	1	1
14	2.6719518222872978	1	3
14	3.217149221611038	30	23
14	3.228123651336716	25	1
14	2.8695549176917723	16	1
14	0.6940883566805951	8	15
14	3.3146475770650454	53	1
14	0.37716524290814846	1	1
14	0.5252356009737298	1	1
14	3.2590915113394487	148	33
14	3.1985232431621284	9	109
14	2.8947285879305866	4	1
14	3.858016534998029	5	44
15	2.6122038072710154	1	1
15	1.2141061993578148	35	1
15	3.064692739412152	4	2
15	2.6825313246741587	1	3
15	3.270276971105659	148	32
15	0.5738493861346114	1	2
15	3.2347946581495535	25	7
15	3.169233753965841	25	2
15	3.2056238933122643	9	2
15	2.397458374109931	1	1
15	0.5294142423059327	1	3
15	0.7406466344205	8	15
15	3.328366425318876	54	208
15	1.6339405865173546	6	1
15	1.6067186175699817	2	1
15	2.7698327057981373	5	4
15	2.4143655357986518	4	1
15	2.8862922970671434	4	1
15	1.529040620954305	1	3
15	3.189634573346467	29	1
15	2.7546745653197604	1	2
15	1.6079230292835405	1	3
15	2.985970023575419	17	1
15	3.0981433857335503	6	6
15	4.037835283021906	5	44
15	3.223548751596695	30	17
15	2.640700759511134	61	2
15	0.3958419660664845	1	1
15	3.2933918457469815	1	207
15	3.069922297078847	1	1
15	3.315693298013116	1	53
16	3.2560857663468425	1	1
16	1.6897376265142157	6	1
16	2.9136939576839325	4	1
16	3.2108622796345117	30	6
16	1.5785186604773571	2	1
16	0.6934749165421579	3	11
16	2.829283727359581	7	4
16	0.7634618402069577	8	16
16	3.899878396769992	5	44
16	0.563602406315141	1	1
16	3.1586156809340196	25	2
16	3.2817285420907467	1	53
16	2.362141291889543	4	1
16	1.656238986970493	35	1
16	0.5772674884023843	2	2
16	3.0114513621188337	1	1
16	0.4222086786029706	1	1
16	2.9691873706146055	1	1
16	0.5726419650415551	1	1
16	2.9596800529139102	16	1
16	3.183909177396089	9	24
16	1.464605940032726	1	1
16	2.6469830163175345	1	2
16	2.672305758468042	1	3
16	3.3126696204887196	54	207
16	3.091311095203224	1	1
16	2.4660270176593144	1	1
16	3.0716487766378293	4	1
16	1.5654636860938638	1	3
16	2.697175141616384	2	5
16	2.6529909245897727	61	2
17	2.6097249046594584	2	5
17	3.192206921709328	9	24
17	3.0090913327444753	1	1
17	1.7859518585079286	6	1
17	0.5690032289907094	1	3
17	2.665923101115112	1	2
17	3.0448758325223366	1	1
17	2.649961023503721	1	2
17	3.286775559229852	1	53
17	0.4115685969017022	1	1
17	2.9253386874821956	4	1
17	3.2575733238031432	30	17
17	2.3789653384890244	4	1
17	0.8686695591134708	8	27
17	3.307412460835593	1	27
17	2.8021362495959465	7	4
17	1.7405801504514216	35	1
17	1.5102990125273834	1	1
17	3.1449743852982976	25	2
17	1.5633010684364024	1	3
17	2.369979353735232	1	1
17	3.363416667402305	54	4
17	3.1119947698753094	4	1
17	2.9371788494039492	16	1
17	1.5704034988936826	2	1
17	3.2707671525569992	148	32
17	3.037855318890564	1	1
17	2.65144227153732	61	2
17	3.233148659219097	25	1
17	3.02236892924833	1	5
17	4.02542270489252	5	44
17	0.5541369893624335	1	1
18	1.559385003583003	1	2
18	1.6015001185914457	35	1
18	0.5399594496637405	1	1
18	3.2345726820751395	25	1
18	1.8106468483075844	6	1
18	2.9041025774691605	4	1
18	3.0695335421218886	1	1
18	0.5538083612750029	1	8
18	2.6237446316273463	1	2
18	2.5371415618913034	4	1
18	1.5726827123738758	1	1
18	0.385046042627323	1	1
18	3.357760372136397	53	4
18	1.603929010090809	2	1
18	1.609361932458512	30	1
18	2.9202877380449763	16	1
18	3.1512296631381957	9	2
18	0.7406807408567317	8	12
18	3.6000161839776297	1	1
18	3.181147993947576	25	2
18	3.2709486679210897	30	23
18	3.3096023606840674	1	1
18	0.5440626578831882	1	1
18	2.468385403749693	1	1
18	2.6068543962834383	2	5
18	2.6400560152719663	61	2
18	2.8198064228746205	7	5
18	3.1173105091349385	4	9
18	4.08687377449516	5	44
18	3.0244217415875596	1	2
18	2.6728685819894054	1	1
18	3.0348112927043474	1	1
19	1.6992462412725047	35	1
19	1.6083046391013909	1	30
19	0.6012413760986703	1	8
19	1.6608896252221257	1	5
19	2.65500093403503	61	2
19	2.372009556382608	1	1
19	2.820128224298287	4	1
19	0.4026774434570086	1	1
